element	sp_num	obs_wl_vac(nm)	unc_obs_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref
B	2	"447.3356"	"0.0010"	"470*"	"1.81e+07"	C	"17.852479"	"20.624138"	"1s2.2s.3p"	"3P*"	"0"	"1s2.2s.4s"	"3S"	"1"		"u27,LS"	"L12120"
B	2	"447.3356"	"0.0010"	"470*"	"5.44e+07"	B	"17.852554"	"20.624138"	"1s2.2s.3p"	"3P*"	"1"	"1s2.2s.4s"	"3S"	"1"		"u27,LS"	"L12120"
B	3	"447.38"	"0.05"	"470bl*"	""		"32.62765"	"[35.39988]"	"1s2.5s"	"2S"	"1/2"	"1s2.7p"	"2P*"	"3/2"		""	"L12547"
B	3	"447.38"	"0.05"	"470bl*"	""		"32.62765"	"[35.39988]"	"1s2.5s"	"2S"	"1/2"	"1s2.7p"	"2P*"	"1/2"		""	"L12547"
B	2	"447.4106"	"0.0010"	"470"	"9.05e+07"	B	"17.852994"	"20.624138"	"1s2.2s.3p"	"3P*"	"2"	"1s2.2s.4s"	"3S"	"1"		"u27,LS"	"L12120"
C	1	"447.8728"	"0.0010"	"9600*"	""		"7.945771557"	"10.71406552"	"2s.2p3"	"3D*"	"3"	"2s2.2p.(2P*<1/2>).5f"	"2[7/2]"	"4"		""	"L17684"
C	1	"447.8728"	"0.0010"	"9600*"	""		"7.945771557"	"10.71404072"	"2s.2p3"	"3D*"	"3"	"2s2.2p.(2P*<1/2>).5f"	"2[7/2]"	"3"		""	"L17684"
O	2	"447.9160"	"0.0010"	"12"	""		"28.941697"	"31.7097189"	"2s2.2p2.(3P).3d"	"2P"	"3/2"	"2s2.2p2.(3P).4f G"	"2[3]*"	"5/2"		""	"L10621"
C	1	"447.9576"	"0.0005"	"4300"	""		"7.94627046"	"10.71404072"	"2s.2p3"	"3D*"	"2"	"2s2.2p.(2P*<1/2>).5f"	"2[7/2]"	"3"		""	"L17684"
C	1	"447.9845"	"0.0005"	"13000"	""		"7.94613476"	"10.71373880"	"2s.2p3"	"3D*"	"1"	"2s2.2p.(2P*<1/2>).5f"	"2[5/2]"	"2"		""	"L17684"
C	1	"448.0082"	"0.0010"	"9600*"	""		"7.94627046"	"10.71373880"	"2s.2p3"	"3D*"	"2"	"2s2.2p.(2P*<1/2>).5f"	"2[5/2]"	"2"		""	"L17684"
C	1	"448.0082"	"0.0010"	"9600*"	""		"7.94627046"	"10.71372629"	"2s.2p3"	"3D*"	"2"	"2s2.2p.(2P*<1/2>).5f"	"2[5/2]"	"3"		""	"L17684"
B	3	"448.831"	"0.003"	"1900*"	""		"30.269704"	"33.03217"	"1s2.4d"	"2D"	"3/2"	"1s2.5f"	"2F*"	"5/2"		""	"L482"
B	3	"448.831"	"0.003"	"1900*"	""		"30.269857"	"33.03220"	"1s2.4d"	"2D"	"5/2"	"1s2.5f"	"2F*"	"7/2"		""	"L482"
