Wavelength (nm),Transmission (%)
780,0.9227759838
779,0.9265198112
778,0.9261001945
777,0.9211053848
776,0.9211187959
775,0.9244279861
774,0.9259937406
773,0.9239600301
772,0.9221689701
771,0.9252230525
770,0.924556613
769,0.9218000174
768,0.9251900911
767,0.9249706864
766,0.9241554141
765,0.9234755039
764,0.9278076887
763,0.9242135286
762,0.9281744957
761,0.9288141727
760,0.9237886667
759,0.9254650474
758,0.921756506
757,0.9275537133
756,0.9280054569
755,0.9303245544
754,0.9264963865
753,0.9262969494
752,0.9302998781
751,0.9298129082
750,0.9324140549
749,0.9245681763
748,0.9244495034
747,0.9259654284
746,0.9273027778
745,0.9309013486
744,0.9266783595
743,0.9295942187
742,0.9274482727
741,0.9289125204
740,0.9297861457
739,0.9290274382
738,0.9327853322
737,0.9284576178
736,0.9298977256
735,0.930542469
734,0.9241671562
733,0.9320306778
732,0.9319074154
731,0.9343878627
730,0.9318690896
729,0.9308567047
728,0.9358654022
727,0.9327799082
726,0.9321882129
725,0.9323721528
724,0.9312341213
723,0.9337207079
722,0.9360591173
721,0.9373998046
720,0.9352164268
719,0.9315202236
718,0.9312411547
717,0.9308989048
716,0.9315971136
715,0.9323833585
714,0.9384966493
713,0.9346244931
712,0.9333609343
711,0.9322329164
710,0.9395599365
709,0.9362105131
708,0.9372825623
707,0.9365366697
706,0.9373070002
705,0.9375984669
704,0.9362662435
703,0.9368681312
702,0.9390408993
701,0.9363980889
700,0.9395019412
699,0.9344494939
698,0.936534822
697,0.9360105991
696,0.9365167618
695,0.9381487966
694,0.9389910698
693,0.9385319352
692,0.9366433024
691,0.9384224415
690,0.9414218664
689,0.9376568794
688,0.9337745905
687,0.9371138215
686,0.9382926226
685,0.9360396266
684,0.9385420084
683,0.9378851652
682,0.9413419366
681,0.9376986027
680,0.9439711571
679,0.9399351478
678,0.9368388057
677,0.9393728375
676,0.9387320876
675,0.9413753748
674,0.93812114
673,0.9434188604
672,0.9431526065
671,0.9419385195
670,0.9406859279
669,0.9432146549
668,0.9403176308
667,0.9413785338
666,0.9429880381
665,0.9438930154
664,0.9429928064
663,0.9399190545
662,0.9426193237
661,0.9419808388
660,0.9404290318
659,0.9366822243
658,0.9402771592
657,0.9405524731
656,0.9456786513
655,0.9465797544
654,0.9412374496
653,0.9420942664
652,0.941950202
651,0.9453556538
650,0.9455725551
649,0.9410384297
648,0.9451556206
647,0.9428828955
646,0.9452303648
645,0.939971745
644,0.9472844005
643,0.9481289387
642,0.9418209195
641,0.9407602549
640,0.9397853017
639,0.9428872466
638,0.9455915689
637,0.9427878857
636,0.9418689013
635,0.9420845509
