time (s),T1 (C),T2 (C),T3 (C),T4 (C),T5 (C)
24.5,38.0,41.0,41.0,41.5,44.75
24.55,38.0,41.0,41.0,41.5,44.75
24.6,38.0,41.0,41.0,41.5,44.75
24.650000000000002,38.0,41.0,41.0,41.5,44.99999999999982
24.700000000000003,38.0,41.0,41.0,41.5,44.75
24.75,38.0,41.0,41.0,41.5,44.75
24.8,38.0,40.75,41.0,41.5,44.75
24.85,38.0,40.75,41.0,41.5,44.75
24.900000000000002,38.0,40.75000000000018,41.0,41.5,44.75000000000018
24.950000000000003,38.0,41.0,41.0,41.5,44.99999999999982
25.0,38.0,41.0,41.0,41.5,44.75
25.05,38.0,41.0,41.0,41.5,44.75
25.1,38.0,40.75,41.0,41.25,44.75
25.150000000000002,38.0,40.75000000000018,41.0,41.25000000000018,45.0
25.200000000000003,38.0,40.99999999999982,41.0,41.5,45.0
25.25,37.75,40.75,41.0,41.5,45.0
25.3,37.75,40.75,41.0,41.5,45.0
25.35,37.75,41.0,41.0,41.5,45.0
25.400000000000002,37.75,40.75,41.0,41.25,45.0
25.450000000000003,37.75,40.75000000000018,41.0,41.25,45.0
25.5,38.0,41.0,41.0,41.25,45.0
25.55,37.75,40.75,41.0,41.25,44.75
25.6,37.75,40.75,41.0,41.25,45.0
25.650000000000002,37.75,40.75,41.0,41.25,44.99999999999982
25.700000000000003,37.75,40.75,41.0,41.25,44.75
25.75,37.75,40.75,41.0,41.25,44.75
25.8,38.0,41.0,41.0,41.25,44.75
25.85,38.0,41.0,41.0,41.25,45.0
25.900000000000002,38.0,41.0,41.0,41.25,45.0
25.950000000000003,38.0,40.99999999999982,41.0,41.25,45.0
26.0,37.75,40.75,41.0,41.25,45.0
26.05,37.75,40.75,41.0,41.25,45.0
26.1,37.75,41.0,41.0,41.25,44.75
26.150000000000002,37.75,41.0,41.0,41.25,44.75000000000018
26.200000000000003,37.75,41.0,41.0,41.25,44.99999999999982
26.25,38.0,41.0,41.0,41.25,44.75
26.3,37.75,40.75,41.0,41.25,44.75
26.35,37.75,40.75,41.0,41.25,45.0
26.400000000000002,38.0,40.75000000000018,41.0,41.25,45.0
